Rk,Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PTS▼,impact,,,,,,
127,Mike Bibby,3.1,7.2,0.431,1.9,4.4,0.44,1.2,2.9,0.417,0.563,0.5,0.8,0.629,0.2,2.2,2.4,3.3,0.6,0.1,8.6,10,,,,,,
128,Omri Casspi,3.2,7.7,0.412,1.3,3.5,0.372,1.9,4.2,0.445,0.496,1,1.4,0.673,1,3.3,4.3,1,0.8,0.2,8.6,10.5,,,,,,
129,Rudy Fernández,2.7,7.4,0.37,1.5,4.6,0.321,1.2,2.7,0.453,0.471,1.6,1.9,0.863,0.5,1.7,2.2,2.5,1.1,0.2,8.6,10.3,,,,,,
130,Metta World Peace,3.2,8,0.397,1,2.8,0.356,2.2,5.2,0.419,0.46,1.1,1.7,0.676,1.2,2,3.3,2.1,1.5,0.4,8.5,11.6,,,,,,
131,Hakim Warrick,2.9,5.6,0.511,0,0.1,0.091,2.8,5.4,0.522,0.512,2.7,3.7,0.721,1.1,2.6,3.7,0.9,0.4,0.1,8.4,10.7,,,,,,
132,DeJuan Blair,3.6,7.2,0.501,0,0,0,3.6,7.2,0.503,0.501,1.1,1.7,0.657,2.7,4.3,7,1,1.2,0.5,8.3,14.4,,,,,,
133,Kyle Korver,3,6.8,0.434,1.5,3.5,0.415,1.5,3.3,0.455,0.542,0.9,1.1,0.885,0.1,1.7,1.8,1.5,0.4,0.2,8.3,7.8,,,,,,
134,Courtney Lee,3.1,7.1,0.439,0.9,2.1,0.408,2.2,5,0.453,0.501,1.2,1.5,0.792,0.6,2,2.6,1.2,0.7,0.2,8.3,9,,,,,,
135,Anthony Parker,3.1,7.7,0.399,1.2,3.2,0.379,1.9,4.5,0.412,0.476,1,1.3,0.779,0.5,2.6,3,3,0.9,0.1,8.3,11.1,,,,,,
136,Samuel Dalembert,3.4,7.1,0.473,0,0,0,3.4,7.1,0.474,0.473,1.4,1.9,0.73,2.7,5.6,8.2,0.8,0.5,1.5,8.1,15.8,,,,,,
137,Nenad Krstić,3.3,6.4,0.511,0,0,,3.3,6.4,0.511,0.511,1.6,2.1,0.774,1.7,3,4.7,0.4,0.4,0.4,8.1,10.8,,,,,,
138,Tracy McGrady*,3.2,7.1,0.442,0.4,1.2,0.341,2.7,5.9,0.462,0.471,1.3,1.8,0.698,0.7,2.8,3.5,3.5,0.9,0.5,8,12.9,,,,,,
139,Chuck Hayes,3.3,6.3,0.527,0,0,0,3.3,6.2,0.529,0.527,1.3,1.9,0.662,3,5.1,8.1,2.7,1.1,0.7,7.9,17.2,,,,,,
140,Jason Kidd*,2.7,7.5,0.361,1.7,4.9,0.34,1,2.6,0.4,0.472,0.8,1,0.87,0.4,4,4.4,8.2,1.7,0.4,7.9,18.2,,,,,,
